Id,Количество отправленных сообщений за период,Количество получаемых сообщений за период,Соотношение Полученных/Отправленных,Количество адресатов в отправляемых сообщениях,Количество сообщений с адресатами в поле «скрытая копия»,Количество сообщений с адресатами в поле «копия»,"Количество сообщений, прочитанных позднее времени получения",Среднее время ответа на сообщение.,"Количество сообщений, на которые произведен ответ",Количество дней между датой получения и датой прочтения сообщения,Количество символов текста в исходящих сообщениях,"Количество сообщений, отправленных вне рамок рабочего дня","Количество сообщений, отправленных без подписи",res
840,27.0,28.0,1.037037037037037,9,0,0,1,2,14.0,1,185,3.0,0.0,False
841,1.0,24.0,24.0,10,3,2,0,1,1.0,0,178,0.0,5.0,False
843,19.0,33.0,1.736842105263158,6,0,2,3,5,10.0,0,213,3.0,3.0,False
844,17.0,51.0,3.0,2,0,0,2,5,9.0,0,228,6.0,4.0,False
845,49.0,15.0,0.3061224489795918,13,0,2,0,0,13.0,0,379,2.0,0.0,False
846,53.0,64.0,1.2075471698113207,8,0,3,0,2,46.0,0,229,9.0,2.0,False
847,15.0,20.0,1.3333333333333333,3,0,0,7,9,0.0,0,110,0.0,11.0,True
848,50.0,14.0,0.28,7,0,0,2,4,9.0,0,281,1.0,1.0,False
849,9.0,74.0,8.222222222222221,14,0,1,5,2,6.0,1,293,0.0,11.0,False
850,19.0,61.0,3.210526315789474,6,0,0,1,4,14.0,1,239,7.0,1.0,False
851,25.0,58.0,2.32,6,0,0,4,5,14.0,2,109,4.0,5.0,False
853,4.0,51.0,12.75,4,0,2,0,2,0.0,2,129,0.0,30.0,True
854,13.0,137.0,10.538461538461538,14,4,6,6,3,8.0,0,371,37.0,25.0,False
855,10.0,34.0,3.4,4,0,1,8,9,4.0,2,93,0.0,19.0,True
856,57.0,13.0,0.2280701754385964,8,0,0,2,5,8.0,1,292,2.0,0.0,False
857,14.0,9.0,0.6428571428571429,7,0,0,2,6,6.0,0,250,1.0,1.0,False
859,52.0,152.0,2.923076923076923,3,1,0,3,2,33.0,1,192,20.0,4.0,False
864,44.0,2.0,0.0454545454545454,7,0,0,7,5,1.0,0,283,0.0,0.0,False
866,17.0,53.0,3.117647058823529,6,0,1,5,5,9.0,1,113,4.0,4.0,False
867,17.0,26.0,1.5294117647058822,8,0,0,1,2,15.0,0,272,5.0,1.0,False
868,7.0,31.0,4.428571428571429,5,0,2,5,4,5.0,0,164,3.0,2.0,False
869,35.0,76.0,2.1714285714285717,12,0,0,0,0,25.0,0,484,10.0,4.0,False
872,6.0,24.0,4.0,11,1,1,6,2,4.0,0,220,0.0,4.0,False
873,6.0,68.0,11.333333333333334,7,0,2,5,1,3.0,1,109,6.0,5.0,False
874,44.0,7.0,0.1590909090909091,12,0,0,0,0,5.0,0,428,1.0,0.0,False
875,9.0,10.0,1.1111111111111112,3,1,0,4,5,5.0,1,170,1.0,1.0,False
876,43.0,90.0,2.0930232558139537,7,0,2,9,7,25.0,1,158,23.0,19.0,False
877,26.0,41.0,1.5769230769230769,5,0,0,2,6,22.0,0,490,5.0,0.0,False
878,8.0,21.0,2.625,13,0,0,2,0,7.0,1,208,3.0,0.0,False
879,14.0,52.0,3.7142857142857135,2,0,0,3,5,10.0,0,194,6.0,4.0,False
880,15.0,16.0,1.0666666666666669,2,0,1,7,9,0.0,1,196,0.0,11.0,True
882,7.0,90.0,12.857142857142858,9,0,2,6,1,4.0,1,161,19.0,19.0,False
886,4.0,39.0,9.75,3,0,1,0,1,2.0,2,189,0.0,22.0,True
887,8.0,4.0,0.5,7,0,0,4,4,2.0,1,236,0.0,0.0,False
888,21.0,58.0,2.761904761904762,3,0,0,4,6,14.0,0,120,7.0,5.0,False
889,11.0,104.0,9.454545454545457,6,0,0,8,3,6.0,0,297,9.0,25.0,False
890,5.0,49.0,9.8,6,0,1,3,1,3.0,0,252,4.0,0.0,False
891,22.0,46.0,2.090909090909091,2,0,1,9,10,3.0,1,168,0.0,28.0,True
892,10.0,56.0,5.6,3,0,1,5,4,5.0,0,269,6.0,6.0,False
893,30.0,107.0,3.566666666666667,4,0,0,2,1,20.0,0,185,15.0,9.0,False
894,5.0,47.0,9.4,3,0,1,0,2,0.0,0,132,0.0,28.0,True
895,4.0,13.0,3.25,3,0,1,3,3,2.0,1,262,1.0,1.0,False
896,2.0,45.0,22.5,5,0,1,0,1,1.0,1,190,1.0,11.0,False
897,54.0,27.0,0.5,7,0,2,0,2,21.0,0,313,4.0,1.0,False
898,25.0,31.0,1.24,7,0,0,1,3,16.0,1,243,2.0,2.0,False
899,15.0,18.0,1.2,10,0,1,2,3,13.0,0,399,2.0,1.0,False
900,34.0,43.0,1.2647058823529411,5,0,0,8,5,18.0,1,225,1.0,9.0,False
901,7.0,91.0,13.0,5,0,2,4,0,4.0,0,314,8.0,4.0,False
902,11.0,56.0,5.090909090909091,4,0,3,9,8,1.0,0,146,0.0,35.0,True
904,37.0,10.0,0.2702702702702703,14,0,0,1,5,8.0,0,236,1.0,0.0,False
905,45.0,108.0,2.4,5,0,0,1,4,33.0,0,214,21.0,6.0,False
907,6.0,4.0,0.6666666666666666,9,4,0,1,0,3.0,1,152,0.0,0.0,False
909,13.0,61.0,4.6923076923076925,3,0,0,2,2,8.0,0,321,4.0,2.0,False
910,6.0,11.0,1.8333333333333333,3,1,1,3,1,3.0,1,385,1.0,0.0,False
912,15.0,3.0,0.2,4,0,0,3,5,2.0,0,262,0.0,0.0,False
913,3.0,12.0,4.0,4,0,0,0,1,2.0,1,220,1.0,2.0,False
914,44.0,42.0,0.9545454545454546,12,0,0,0,0,29.0,0,274,5.0,0.0,False
915,34.0,55.0,1.6176470588235294,13,0,1,0,0,27.0,0,368,8.0,5.0,False
916,4.0,97.0,24.25,9,0,1,0,0,3.0,0,316,12.0,2.0,False
917,29.0,25.0,0.8620689655172413,8,0,0,2,4,18.0,0,440,4.0,1.0,False
918,19.0,51.0,2.6842105263157894,3,0,0,4,1,11.0,0,303,4.0,2.0,False
919,14.0,67.0,4.785714285714286,12,1,2,8,2,9.0,0,353,14.0,15.0,False
920,9.0,4.0,0.4444444444444444,2,0,1,8,2,0.0,2,53,0.0,2.0,True
921,50.0,55.0,1.1,4,0,2,8,12,16.0,0,152,0.0,30.0,True
922,13.0,29.0,2.230769230769231,3,0,0,10,5,0.0,1,55,0.0,18.0,True
923,17.0,85.0,5.0,7,0,0,8,2,11.0,0,282,5.0,16.0,False
924,10.0,58.0,5.8,2,0,0,8,5,3.0,1,148,1.0,36.0,True
925,6.0,64.0,10.666666666666666,9,0,3,5,2,4.0,0,324,0.0,10.0,False
926,30.0,134.0,4.466666666666667,6,1,0,4,6,18.0,2,116,15.0,11.0,False
928,14.0,92.0,6.571428571428571,4,0,0,1,1,10.0,1,209,11.0,6.0,False
929,5.0,63.0,12.6,8,2,1,3,0,3.0,2,304,7.0,7.0,False
930,27.0,64.0,2.3703703703703702,10,0,1,5,5,16.0,1,215,1.0,16.0,False
931,23.0,35.0,1.5217391304347827,6,0,0,3,3,16.0,1,347,3.0,0.0,False
933,32.0,44.0,1.375,12,0,0,7,4,19.0,1,338,1.0,10.0,False
934,8.0,93.0,11.625,6,0,0,5,4,5.0,0,267,7.0,8.0,False
935,14.0,70.0,5.0,14,0,0,5,2,9.0,0,158,2.0,13.0,False
936,37.0,21.0,0.5675675675675675,4,0,2,4,4,13.0,0,314,1.0,1.0,False
937,28.0,25.0,0.8928571428571429,7,0,0,1,1,14.0,1,304,2.0,0.0,False
938,40.0,27.0,0.675,6,0,0,1,4,22.0,0,354,5.0,0.0,False
939,5.0,0.0,0.0,5,0,0,3,0,0.0,1,367,0.0,0.0,False
940,14.0,2.0,0.1428571428571428,7,2,1,3,2,1.0,0,229,0.0,0.0,False
941,15.0,4.0,0.2666666666666666,5,0,1,1,1,2.0,0,241,1.0,0.0,False
942,60.0,5.0,0.0833333333333333,12,1,0,1,9,4.0,0,294,1.0,0.0,False
943,46.0,24.0,0.5217391304347826,5,0,0,2,6,17.0,1,381,3.0,0.0,False
946,9.0,65.0,7.222222222222222,10,0,3,5,2,6.0,0,269,4.0,15.0,False
947,8.0,3.0,0.375,4,0,0,3,4,2.0,1,272,0.0,0.0,False
948,19.0,114.0,6.0,3,0,1,3,5,10.0,0,165,9.0,11.0,False
950,7.0,28.0,4.0,5,0,1,5,0,4.0,1,274,4.0,5.0,False
951,10.0,55.0,5.5,3,0,0,8,5,2.0,0,168,0.0,31.0,True
952,1.0,16.0,16.0,13,0,0,0,1,1.0,1,196,1.0,2.0,False
953,7.0,78.0,11.142857142857142,2,0,1,5,2,5.0,1,290,5.0,6.0,False
954,12.0,9.0,0.75,4,0,2,7,8,0.0,0,108,0.0,5.0,True
955,24.0,17.0,0.7083333333333334,5,0,0,8,5,11.0,0,233,2.0,4.0,False
956,26.0,88.0,3.3846153846153846,3,0,2,1,3,17.0,0,171,7.0,12.0,False
957,6.0,73.0,12.166666666666666,4,0,3,4,1,3.0,0,159,9.0,1.0,False
958,42.0,41.0,0.9761904761904762,11,2,0,5,8,27.0,0,374,7.0,8.0,False
959,5.0,82.0,16.4,14,0,0,5,1,3.0,1,221,0.0,16.0,False
960,5.0,71.0,14.2,2,0,0,2,5,3.0,0,202,8.0,7.0,False
962,15.0,45.0,3.0,3,0,1,1,1,8.0,1,152,5.0,7.0,False
963,32.0,111.0,3.46875,7,0,2,0,0,24.0,0,479,20.0,3.0,False
964,15.0,12.0,0.8,6,2,0,1,2,7.0,0,236,1.0,0.0,False
966,36.0,38.0,1.0555555555555556,11,0,0,0,0,28.0,0,329,4.0,3.0,False
968,24.0,39.0,1.625,5,0,0,1,3,15.0,2,193,2.0,0.0,False
969,16.0,1.0,0.0625,5,0,0,8,2,1.0,1,305,0.0,0.0,False
970,3.0,0.0,0.0,14,0,1,0,2,0.0,1,301,0.0,0.0,False
972,15.0,3.0,0.2,2,1,0,3,6,2.0,1,134,0.0,0.0,False
973,16.0,39.0,2.4375,3,0,1,9,9,2.0,0,198,0.0,22.0,True
974,48.0,7.0,0.1458333333333333,16,0,0,1,6,6.0,0,455,1.0,0.0,False
975,37.0,53.0,1.4324324324324325,2,0,1,5,3,24.0,2,173,3.0,4.0,False
976,25.0,46.0,1.84,7,0,0,2,3,13.0,1,282,3.0,2.0,False
977,14.0,88.0,6.285714285714286,12,0,4,9,2,8.0,0,211,12.0,12.0,False
978,15.0,18.0,1.2,2,0,0,9,9,3.0,0,95,0.0,9.0,True
979,2.0,34.0,17.0,2,0,1,0,0,0.0,1,175,0.0,20.0,True
980,9.0,69.0,7.666666666666667,9,0,0,1,0,5.0,1,352,7.0,1.0,False
981,4.0,49.0,12.25,2,0,0,1,4,3.0,1,181,6.0,4.0,False
982,13.0,83.0,6.384615384615385,11,0,0,0,0,11.0,0,348,15.0,8.0,False
983,3.0,53.0,17.666666666666668,2,0,1,0,1,0.0,0,183,0.0,29.0,True
984,3.0,41.0,13.666666666666666,4,0,2,0,1,1.0,0,74,0.0,27.0,True
985,51.0,33.0,0.6470588235294118,13,0,3,5,9,21.0,0,258,2.0,5.0,False
986,6.0,83.0,13.833333333333334,13,0,6,6,3,4.0,1,232,14.0,13.0,False
987,3.0,17.0,5.666666666666667,7,0,0,2,1,2.0,0,210,2.0,1.0,False
988,3.0,56.0,18.666666666666668,0,0,0,0,1,0.0,0,69,0.0,35.0,True
990,2.0,42.0,21.0,4,0,0,0,1,0.0,2,186,0.0,23.0,True
992,24.0,35.0,1.4583333333333333,4,0,0,3,7,14.0,0,297,3.0,3.0,False
993,58.0,3.0,0.0517241379310344,12,0,0,2,5,2.0,0,358,0.0,0.0,False
994,37.0,101.0,2.72972972972973,5,0,2,4,6,22.0,0,269,11.0,7.0,False
995,14.0,26.0,1.8571428571428568,7,0,0,9,2,8.0,1,340,0.0,5.0,False
996,29.0,52.0,1.793103448275862,9,0,2,9,5,18.0,0,177,7.0,11.0,False
997,11.0,5.0,0.4545454545454545,10,0,1,0,0,4.0,1,207,1.0,0.0,False
998,3.0,30.0,10.0,8,0,0,1,0,2.0,0,274,4.0,0.0,False
999,5.0,17.0,3.4,3,1,1,0,2,1.0,0,62,0.0,9.0,True
1001,6.0,1.0,0.1666666666666666,6,0,1,5,3,1.0,1,163,0.0,0.0,False
1002,20.0,66.0,3.3,1,0,0,7,9,2.0,1,151,0.0,33.0,True
1003,29.0,1.0,0.0344827586206896,3,0,0,3,6,1.0,2,189,0.0,0.0,False
1005,16.0,43.0,2.6875,4,0,1,3,5,10.0,1,158,3.0,3.0,False
1007,5.0,24.0,4.8,9,0,0,4,0,3.0,1,350,2.0,1.0,False
1008,11.0,33.0,3.0,4,0,0,3,4,7.0,0,295,4.0,3.0,False
1010,11.0,115.0,10.454545454545457,7,0,0,4,1,8.0,0,276,10.0,1.0,False
1011,12.0,30.0,2.5,6,0,0,9,3,8.0,1,234,7.0,6.0,False
1012,46.0,63.0,1.3695652173913044,8,0,0,2,3,32.0,0,272,8.0,0.0,False
1013,28.0,31.0,1.1071428571428572,9,0,2,3,3,15.0,1,270,4.0,1.0,False
1014,7.0,51.0,7.285714285714286,10,0,1,7,2,4.0,0,224,6.0,6.0,False
1015,7.0,97.0,13.857142857142858,5,0,1,1,1,6.0,0,426,15.0,3.0,False
1016,21.0,91.0,4.333333333333333,9,0,0,5,4,14.0,0,286,9.0,19.0,False
1017,6.0,20.0,3.333333333333333,9,0,3,3,1,3.0,1,356,1.0,1.0,False
1018,33.0,91.0,2.757575757575758,11,0,0,6,5,18.0,0,231,9.0,16.0,False
1021,16.0,96.0,6.0,3,0,1,2,5,8.0,0,188,5.0,8.0,False
1022,29.0,91.0,3.1379310344827585,6,0,0,2,3,20.0,2,165,12.0,1.0,False
1023,40.0,44.0,1.1,6,0,0,1,6,30.0,0,303,9.0,3.0,False
1024,4.0,24.0,6.0,4,0,0,1,3,2.0,1,108,2.0,2.0,False
1025,36.0,116.0,3.2222222222222223,5,0,0,5,6,21.0,0,113,13.0,9.0,False
1026,18.0,42.0,2.333333333333333,3,0,0,5,6,11.0,0,121,2.0,4.0,False
1027,6.0,7.0,1.1666666666666667,4,0,0,0,2,2.0,1,158,0.0,4.0,True
1030,3.0,29.0,9.666666666666666,4,0,0,0,1,0.0,0,59,0.0,16.0,True
1031,26.0,119.0,4.576923076923077,7,0,0,5,6,15.0,0,101,7.0,9.0,False
1032,24.0,10.0,0.4166666666666667,6,0,2,2,5,6.0,0,218,1.0,1.0,False
1033,27.0,1.0,0.037037037037037,12,0,2,6,5,1.0,0,216,0.0,0.0,False
1034,17.0,62.0,3.647058823529412,6,2,4,5,5,10.0,0,129,6.0,6.0,False
1035,25.0,30.0,1.2,13,0,2,7,4,14.0,0,302,6.0,4.0,False
1036,56.0,3.0,0.0535714285714285,20,0,2,2,5,3.0,0,495,1.0,0.0,False
1037,9.0,17.0,1.8888888888888888,5,0,2,1,2,6.0,0,256,3.0,0.0,False
1038,57.0,49.0,0.8596491228070176,13,0,0,3,4,38.0,0,405,5.0,2.0,False
1039,12.0,41.0,3.4166666666666665,4,0,0,9,8,1.0,1,80,0.0,22.0,True
1040,24.0,30.0,1.25,5,0,0,4,2,15.0,0,271,3.0,0.0,False
1043,5.0,19.0,3.8,7,0,2,5,1,3.0,0,215,3.0,4.0,False
1044,25.0,6.0,0.24,4,0,1,3,1,4.0,1,272,1.0,0.0,False
1045,34.0,16.0,0.4705882352941176,13,0,0,0,0,12.0,1,329,2.0,0.0,False
1046,15.0,34.0,2.2666666666666666,2,0,0,10,9,1.0,0,53,0.0,23.0,True
1047,3.0,25.0,8.333333333333334,1,0,0,2,2,2.0,0,290,2.0,2.0,False
1048,11.0,43.0,3.909090909090909,9,0,1,4,0,7.0,0,350,4.0,4.0,False
1049,9.0,25.0,2.7777777777777777,2,0,0,8,2,0.0,2,75,0.0,15.0,True
1051,6.0,81.0,13.5,4,0,0,4,2,3.0,0,162,8.0,7.0,False
1052,7.0,92.0,13.142857142857142,13,0,2,6,1,5.0,0,156,6.0,21.0,False
1053,36.0,99.0,2.75,12,0,3,7,4,21.0,1,303,0.0,24.0,False
1054,15.0,44.0,2.933333333333333,2,0,0,4,6,8.0,0,173,4.0,4.0,False
1055,19.0,44.0,2.3157894736842106,6,0,0,7,5,13.0,1,380,3.0,6.0,False
1056,16.0,12.0,0.75,10,0,0,5,3,7.0,1,245,0.0,3.0,False
1057,47.0,15.0,0.3191489361702128,9,0,1,3,3,8.0,2,224,2.0,0.0,False
1059,14.0,3.0,0.2142857142857142,6,0,1,3,5,2.0,0,154,0.0,0.0,False
1060,28.0,90.0,3.2142857142857144,12,2,2,2,5,24.0,0,235,18.0,0.0,False
1061,22.0,71.0,3.227272727272727,5,2,0,1,1,15.0,1,237,5.0,1.0,False
1063,4.0,9.0,2.25,3,0,0,1,0,2.0,0,198,1.0,0.0,False
1064,6.0,2.0,0.3333333333333333,7,0,0,3,1,1.0,1,219,0.0,0.0,False
1065,47.0,19.0,0.4042553191489361,3,0,1,2,3,11.0,0,269,2.0,1.0,False
1066,21.0,21.0,1.0,2,0,0,3,5,11.0,1,280,1.0,2.0,False
1067,16.0,17.0,1.0625,8,2,0,4,1,10.0,0,239,1.0,0.0,False
1068,1.0,16.0,16.0,7,0,0,0,0,1.0,0,299,1.0,1.0,False
1069,42.0,99.0,2.357142857142857,6,0,0,1,4,22.0,1,221,14.0,0.0,False
1071,6.0,17.0,2.833333333333333,3,0,0,0,2,4.0,1,60,0.0,9.0,True
1073,34.0,70.0,2.0588235294117645,7,1,1,2,2,21.0,1,227,8.0,0.0,False
1074,2.0,9.0,4.5,4,0,0,0,0,1.0,2,219,1.0,1.0,False
1075,12.0,82.0,6.833333333333333,6,0,1,4,0,6.0,1,186,9.0,1.0,False
1076,15.0,3.0,0.2,6,2,0,1,1,2.0,1,255,0.0,0.0,False
1078,20.0,23.0,1.15,9,0,0,1,3,18.0,1,207,4.0,1.0,False
1079,14.0,60.0,4.285714285714286,11,0,1,6,3,8.0,0,332,10.0,8.0,False
1080,13.0,53.0,4.076923076923077,3,0,1,10,6,3.0,0,70,0.0,34.0,True
1081,51.0,56.0,1.0980392156862746,11,0,0,0,1,40.0,0,373,8.0,0.0,False
1082,12.0,124.0,10.333333333333334,6,0,0,3,0,7.0,1,361,8.0,15.0,False
1083,5.0,20.0,4.0,1,0,0,0,2,2.0,1,185,0.0,12.0,True
1084,5.0,15.0,3.0,7,0,1,1,1,3.0,1,160,1.0,0.0,False
1085,20.0,33.0,1.65,7,0,1,3,6,13.0,0,102,4.0,3.0,False
1087,26.0,56.0,2.1538461538461537,3,0,1,5,7,18.0,2,214,6.0,5.0,False
1088,3.0,37.0,12.333333333333334,0,0,0,0,2,1.0,1,182,0.0,25.0,True
1089,57.0,47.0,0.8245614035087719,14,0,1,2,7,35.0,0,231,7.0,2.0,False
1090,27.0,123.0,4.555555555555555,5,0,2,3,5,14.0,0,273,9.0,10.0,False
1091,53.0,28.0,0.5283018867924528,17,0,2,5,5,15.0,2,312,7.0,7.0,False
1092,3.0,40.0,13.333333333333334,3,0,0,0,1,0.0,1,178,0.0,21.0,True
1093,5.0,56.0,11.2,7,0,2,5,1,3.0,1,372,2.0,6.0,False
1094,2.0,2.0,1.0,4,0,0,0,2,0.0,0,87,0.0,1.0,True
1097,14.0,58.0,4.142857142857143,9,1,0,2,3,11.0,0,488,11.0,3.0,False
1099,30.0,5.0,0.1666666666666666,4,0,2,3,5,3.0,0,219,1.0,0.0,False
1100,9.0,98.0,10.88888888888889,9,0,3,4,0,6.0,1,374,5.0,4.0,False
1101,22.0,68.0,3.090909090909091,6,0,2,0,0,16.0,0,290,9.0,2.0,False
1102,32.0,5.0,0.15625,3,0,0,1,3,3.0,1,158,0.0,0.0,False
1103,12.0,44.0,3.6666666666666665,12,0,0,7,2,8.0,1,237,8.0,4.0,False
1104,30.0,1.0,0.0333333333333333,3,0,0,3,3,1.0,0,250,0.0,0.0,False
1105,4.0,25.0,6.25,3,0,1,2,5,2.0,0,189,2.0,2.0,False
1106,2.0,11.0,5.5,8,0,0,0,0,1.0,1,307,1.0,0.0,False
1107,9.0,30.0,3.333333333333333,3,0,0,2,0,5.0,1,370,4.0,3.0,False
1108,36.0,19.0,0.5277777777777778,2,0,1,4,3,11.0,0,184,2.0,2.0,False
1109,6.0,51.0,8.5,14,0,0,5,0,4.0,1,335,9.0,11.0,False
1110,3.0,15.0,5.0,6,0,0,1,5,2.0,0,243,1.0,1.0,False
1111,30.0,60.0,2.0,3,0,1,4,3,18.0,1,232,7.0,1.0,False
1112,3.0,17.0,5.666666666666667,11,0,0,0,2,2.0,0,209,0.0,2.0,False
1113,5.0,69.0,13.8,2,0,0,5,4,3.0,1,201,8.0,6.0,False
1115,26.0,42.0,1.6153846153846154,7,0,1,2,2,18.0,1,233,5.0,4.0,False
1116,14.0,61.0,4.357142857142857,9,0,0,8,3,7.0,1,320,5.0,14.0,False
1117,5.0,19.0,3.8,4,0,1,0,2,0.0,0,106,0.0,10.0,True
1118,9.0,16.0,1.7777777777777777,1,0,0,9,3,1.0,1,112,0.0,11.0,True
1119,10.0,14.0,1.4,7,0,2,2,0,5.0,1,349,2.0,0.0,False
1120,19.0,10.0,0.5263157894736842,6,0,0,1,1,6.0,0,193,1.0,1.0,False
1121,8.0,38.0,4.75,2,1,0,7,2,3.0,0,102,0.0,20.0,True
1122,52.0,47.0,0.903846153846154,10,0,1,0,2,35.0,0,395,5.0,5.0,False
1123,6.0,23.0,3.8333333333333335,4,0,2,0,2,1.0,0,170,0.0,14.0,True
1124,59.0,35.0,0.5932203389830508,4,0,3,4,6,19.0,1,303,3.0,1.0,False
1125,21.0,62.0,2.952380952380953,4,2,1,2,5,13.0,1,105,3.0,6.0,False
1126,3.0,56.0,18.666666666666668,4,0,0,0,2,1.0,0,159,0.0,29.0,True
1127,15.0,90.0,6.0,4,0,0,2,5,10.0,0,270,6.0,9.0,False
1128,9.0,2.0,0.2222222222222222,12,0,1,5,3,1.0,0,173,0.0,0.0,False
1129,10.0,36.0,3.6,4,3,0,10,6,1.0,1,96,0.0,22.0,True
1130,7.0,15.0,2.142857142857143,6,0,4,6,2,5.0,1,168,1.0,2.0,False
1131,21.0,59.0,2.8095238095238093,3,1,0,8,9,3.0,1,146,0.0,33.0,True
1132,4.0,67.0,16.75,3,0,0,3,3,2.0,1,295,4.0,6.0,False
1134,36.0,73.0,2.0277777777777777,8,0,2,1,6,29.0,0,233,11.0,3.0,False
1135,12.0,69.0,5.75,4,0,1,1,2,8.0,1,214,4.0,3.0,False
1137,18.0,62.0,3.4444444444444446,6,0,0,6,3,9.0,0,300,14.0,8.0,False
1138,32.0,45.0,1.40625,5,2,2,8,5,17.0,1,250,4.0,10.0,False
1140,13.0,51.0,3.923076923076923,6,0,1,3,2,7.0,0,297,7.0,7.0,False
1141,19.0,28.0,1.4736842105263157,11,0,0,7,4,10.0,1,315,6.0,3.0,False
1142,24.0,30.0,1.25,4,0,1,4,6,16.0,1,261,2.0,3.0,False
1143,9.0,12.0,1.3333333333333333,6,0,2,1,0,6.0,1,383,1.0,0.0,False
1144,25.0,124.0,4.96,13,0,0,0,0,20.0,0,240,19.0,0.0,False
1145,3.0,41.0,13.666666666666666,10,0,3,1,3,2.0,1,349,6.0,2.0,False
1148,4.0,82.0,20.5,2,0,1,3,0,3.0,1,308,10.0,4.0,False
1149,6.0,37.0,6.166666666666667,4,0,1,0,2,0.0,1,173,0.0,20.0,True
1150,25.0,5.0,0.2,5,0,0,2,4,4.0,0,316,1.0,0.0,False
1151,10.0,9.0,0.9,1,0,1,8,7,4.0,1,177,0.0,6.0,True
1153,18.0,0.0,0.0,4,0,2,9,9,0.0,0,175,0.0,0.0,True
1154,13.0,97.0,7.461538461538462,3,0,0,4,5,7.0,2,284,5.0,10.0,False
1155,1.0,13.0,13.0,3,0,1,0,2,0.0,1,116,0.0,7.0,True
1156,4.0,30.0,7.5,3,0,0,0,2,1.0,0,195,0.0,16.0,True
1157,13.0,15.0,1.1538461538461535,5,2,1,7,2,7.0,1,170,0.0,2.0,False
1158,3.0,32.0,10.666666666666666,6,1,0,2,1,2.0,0,277,3.0,2.0,False
1159,41.0,10.0,0.2439024390243902,9,0,1,3,2,5.0,0,252,1.0,1.0,False
1160,26.0,69.0,2.6538461538461537,13,0,0,5,4,17.0,1,191,12.0,11.0,False
1161,52.0,66.0,1.2692307692307692,6,0,0,4,6,36.0,0,246,7.0,6.0,False
1162,24.0,98.0,4.083333333333333,10,0,2,2,3,20.0,0,276,17.0,5.0,False
1163,4.0,49.0,12.25,14,0,4,1,1,4.0,0,328,5.0,2.0,False
1164,34.0,63.0,1.8529411764705883,4,0,2,4,5,18.0,1,128,6.0,5.0,False
1165,23.0,63.0,2.739130434782609,5,0,0,1,6,20.0,0,202,7.0,1.0,False
1166,21.0,43.0,2.0476190476190474,5,0,1,0,0,16.0,0,293,8.0,3.0,False
1167,5.0,95.0,19.0,2,1,0,3,3,3.0,1,183,7.0,9.0,False
1168,24.0,6.0,0.25,2,0,1,9,9,1.0,0,97,0.0,4.0,True
1170,33.0,42.0,1.2727272727272727,12,0,7,2,5,27.0,1,475,5.0,0.0,False
1171,16.0,62.0,3.875,5,0,2,3,2,11.0,1,354,4.0,0.0,False
1172,18.0,83.0,4.611111111111111,6,0,0,2,6,9.0,0,200,8.0,7.0,False
1174,29.0,54.0,1.862068965517241,13,0,1,7,7,17.0,0,383,14.0,9.0,False
1175,49.0,8.0,0.1632653061224489,6,0,0,2,4,5.0,1,310,0.0,1.0,False
1176,3.0,51.0,17.0,4,0,1,0,1,0.0,0,56,0.0,35.0,True
1177,18.0,36.0,2.0,7,0,0,5,6,9.0,1,143,4.0,4.0,False
1179,13.0,50.0,3.8461538461538463,2,0,1,4,4,7.0,1,200,6.0,4.0,False
1180,25.0,38.0,1.52,12,0,2,7,4,14.0,0,282,0.0,6.0,False
1181,3.0,22.0,7.333333333333333,9,0,3,0,0,2.0,0,382,3.0,1.0,False
1182,32.0,26.0,0.8125,5,0,0,1,3,16.0,0,267,2.0,2.0,False
1183,8.0,52.0,6.5,6,0,3,1,2,6.0,0,342,7.0,0.0,False
1184,1.0,18.0,18.0,3,0,0,0,1,1.0,0,239,1.0,2.0,False
1185,12.0,93.0,7.75,5,0,2,4,1,6.0,2,390,13.0,1.0,False
1187,39.0,60.0,1.5384615384615383,4,0,1,2,4,27.0,0,203,9.0,10.0,False
1189,29.0,11.0,0.3793103448275862,8,0,1,4,1,6.0,1,299,1.0,0.0,False
1190,27.0,8.0,0.2962962962962963,7,0,1,3,2,5.0,0,266,1.0,0.0,False
1192,48.0,110.0,2.2916666666666665,11,0,3,0,0,35.0,0,419,19.0,7.0,False
1195,44.0,34.0,0.7727272727272727,10,0,3,2,5,24.0,1,338,7.0,0.0,False
1196,26.0,12.0,0.4615384615384615,7,0,0,3,3,8.0,0,272,1.0,1.0,False
1197,12.0,85.0,7.083333333333333,3,0,1,4,4,7.0,1,141,9.0,8.0,False
1198,32.0,143.0,4.46875,14,0,2,7,6,22.0,1,227,7.0,21.0,False
1199,28.0,39.0,1.3928571428571428,13,0,1,0,0,23.0,0,456,8.0,0.0,False
1200,27.0,46.0,1.7037037037037035,10,0,3,7,7,18.0,0,163,7.0,6.0,False
1201,29.0,64.0,2.206896551724138,4,0,1,3,3,19.0,1,358,8.0,10.0,False
1202,32.0,93.0,2.90625,8,2,0,7,6,17.0,0,296,2.0,16.0,False
1204,20.0,50.0,2.5,7,0,0,8,3,10.0,1,360,2.0,5.0,False
1205,22.0,81.0,3.6818181818181817,3,0,0,2,6,13.0,0,182,7.0,7.0,False
1207,26.0,73.0,2.8076923076923075,11,0,0,1,6,21.0,0,323,12.0,1.0,False
1208,38.0,84.0,2.210526315789474,6,0,2,3,3,20.0,0,285,5.0,3.0,False
