,Количество отправленных сообщений за период,Количество получаемых сообщений за период,Соотношение Полученных/Отправленных,Количество адресатов в отправляемых сообщениях,Количество сообщений с адресатами в поле «скрытая копия»,Количество сообщений с адресатами в поле «копия»,"Количество сообщений, прочитанных позднее времени получения",Среднее время ответа на сообщение.,"Количество сообщений, на которые произведен ответ",Количество дней между датой получения и датой прочтения сообщения,Количество символов текста в исходящих сообщениях,"Количество сообщений, отправленных вне рамок рабочего дня","Количество сообщений, отправленных без подписи",res
290,2.0,14.0,7.0,4,0,1,0,2,0.0,1,80,0.0,8.0,True
291,3.0,84.0,28.0,7,0,0,2,5,2.0,1,134,6.0,7.0,False
293,4.0,5.0,1.25,1,0,1,0,2,0.0,1,156,0.0,3.0,True
294,2.0,53.0,26.5,4,0,1,1,2,1.0,1,223,6.0,4.0,False
295,23.0,0.0,0.0,12,3,2,9,4,0.0,1,263,0.0,0.0,False
296,14.0,46.0,3.2857142857142856,8,0,0,4,2,8.0,1,203,5.0,3.0,False
297,14.0,35.0,2.5,5,0,0,4,6,8.0,0,272,2.0,3.0,False
298,43.0,25.0,0.5813953488372093,7,0,0,2,3,13.0,1,396,2.0,0.0,False
299,5.0,64.0,12.8,7,0,0,2,1,3.0,1,389,5.0,7.0,False
300,23.0,14.0,0.6086956521739131,5,1,0,9,3,8.0,0,382,1.0,2.0,False
302,36.0,8.0,0.2222222222222222,7,0,0,2,4,4.0,0,181,1.0,0.0,False
303,21.0,96.0,4.571428571428571,12,3,3,6,4,14.0,0,161,0.0,15.0,False
304,67.0,65.0,0.9701492537313433,14,0,0,3,8,54.0,0,220,10.0,3.0,False
305,12.0,41.0,3.4166666666666665,6,0,0,6,2,7.0,0,151,0.0,6.0,False
306,20.0,34.0,1.7,7,2,0,1,1,12.0,1,201,2.0,0.0,False
307,16.0,14.0,0.875,13,0,3,5,3,9.0,0,379,0.0,3.0,False
308,52.0,29.0,0.5576923076923077,14,0,1,3,4,22.0,0,347,5.0,0.0,False
309,3.0,31.0,10.333333333333334,7,0,2,0,0,2.0,2,228,5.0,5.0,False
311,10.0,24.0,2.4,7,0,1,1,1,5.0,0,355,3.0,0.0,False
312,40.0,42.0,1.05,9,0,1,1,6,28.0,0,498,7.0,0.0,False
313,2.0,23.0,11.5,1,0,0,0,0,1.0,1,279,1.0,2.0,False
314,4.0,66.0,16.5,6,0,2,1,3,3.0,1,248,8.0,6.0,False
315,6.0,49.0,8.166666666666666,6,0,1,4,1,4.0,0,200,3.0,4.0,False
316,4.0,62.0,15.5,0,0,0,0,1,1.0,1,136,0.0,36.0,True
317,45.0,72.0,1.6,13,0,4,1,6,36.0,0,394,10.0,3.0,False
318,22.0,3.0,0.13636363636363635,6,0,0,1,5,3.0,0,362,1.0,0.0,False
319,2.0,24.0,12.0,1,1,1,0,1,0.0,2,164,0.0,15.0,True
320,13.0,72.0,5.538461538461538,3,0,1,7,8,1.0,0,120,0.0,42.0,True
321,5.0,64.0,12.8,7,0,1,4,2,3.0,1,229,7.0,6.0,False
322,1.0,138.0,138.0,4,0,0,0,0,1.0,1,283,8.0,12.0,False
323,11.0,7.0,0.6363636363636364,11,0,0,9,1,5.0,0,374,0.0,1.0,False
324,9.0,11.0,1.2222222222222223,2,0,1,4,5,5.0,1,104,1.0,1.0,False
325,43.0,1.0,0.023255813953488372,8,0,2,1,4,1.0,1,257,0.0,0.0,False
326,7.0,10.0,1.4285714285714286,6,2,1,5,0,4.0,0,252,0.0,2.0,False
327,40.0,9.0,0.225,10,0,0,1,5,6.0,0,310,2.0,0.0,False
328,25.0,40.0,1.6,5,0,0,2,3,21.0,0,409,4.0,1.0,False
329,100.0,53.0,0.53,13,0,2,2,11,44.0,0,212,8.0,3.0,False
330,20.0,8.0,0.4,2,0,1,8,8,1.0,1,157,0.0,4.0,True
331,77.0,77.0,1.0,16,3,5,7,7,54.0,1,393,5.0,7.0,False
332,2.0,28.0,14.0,8,0,1,1,1,1.0,0,173,2.0,2.0,False
333,4.0,25.0,6.25,3,0,0,0,2,0.0,1,125,0.0,14.0,True
334,77.0,0.0,0.0,24,0,2,14,10,0.0,1,330,0.0,0.0,False
335,22.0,6.0,0.2727272727272727,9,0,3,4,2,3.0,2,299,0.0,0.0,False
336,3.0,45.0,15.0,13,0,0,0,0,2.0,0,356,7.0,3.0,False
338,13.0,50.0,3.8461538461538463,2,0,1,3,6,7.0,1,292,5.0,4.0,False
339,24.0,49.0,2.0416666666666665,7,0,0,3,1,13.0,1,301,6.0,5.0,False
340,8.0,16.0,2.0,2,0,0,7,4,1.0,0,78,0.0,10.0,True
341,4.0,55.0,13.75,12,0,4,1,0,3.0,0,268,8.0,3.0,False
342,7.0,35.0,5.0,7,0,0,2,4,4.0,0,240,3.0,3.0,False
343,14.0,63.0,4.5,6,0,0,7,2,9.0,1,176,18.0,14.0,False
345,4.0,91.0,22.75,3,0,1,3,2,2.0,0,158,7.0,7.0,False
347,22.0,99.0,4.5,8,0,2,6,4,13.0,0,218,25.0,20.0,False
348,33.0,14.0,0.42424242424242425,5,0,2,1,4,8.0,0,330,1.0,1.0,False
349,8.0,30.0,3.75,4,0,0,8,1,2.0,0,52,0.0,18.0,True
350,5.0,0.0,0.0,2,0,0,4,2,0.0,0,269,0.0,0.0,False
351,30.0,17.0,0.5666666666666667,8,2,0,0,0,15.0,0,401,2.0,0.0,False
352,5.0,10.0,2.0,8,0,2,1,1,3.0,0,323,1.0,0.0,False
353,6.0,52.0,8.666666666666666,1,0,1,0,2,0.0,0,146,0.0,28.0,True
354,76.0,7.0,0.09210526315789473,5,0,0,7,3,4.0,1,159,1.0,0.0,False
355,9.0,1.0,0.1111111111111111,3,0,0,4,1,1.0,2,315,0.0,0.0,False
356,5.0,74.0,14.8,6,0,0,5,1,3.0,1,125,6.0,7.0,False
357,1.0,49.0,49.0,6,0,1,0,1,1.0,0,271,4.0,4.0,False
358,96.0,4.0,0.041666666666666664,11,0,1,2,8,3.0,0,352,1.0,0.0,False
359,10.0,21.0,2.1,2,0,0,2,4,6.0,2,210,2.0,1.0,False
360,37.0,3.0,0.08108108108108109,8,0,0,1,2,2.0,1,280,0.0,0.0,False
362,3.0,17.0,5.666666666666667,0,0,0,0,1,2.0,0,179,0.0,9.0,True
363,1.0,42.0,42.0,3,0,0,0,0,0.0,1,123,0.0,25.0,True
364,7.0,52.0,7.428571428571429,5,0,2,4,1,5.0,1,350,7.0,2.0,False
365,8.0,0.0,0.0,8,0,3,2,0,0.0,1,398,0.0,0.0,False
366,45.0,43.0,0.9555555555555556,7,0,0,3,3,30.0,2,251,3.0,0.0,False
367,29.0,105.0,3.6206896551724137,5,0,2,4,3,16.0,0,265,11.0,2.0,False
368,13.0,15.0,1.1538461538461537,6,0,0,6,2,7.0,0,317,2.0,3.0,False
369,6.0,211.0,35.166666666666664,11,0,0,1,0,5.0,0,408,27.0,10.0,False
370,13.0,13.0,1.0,13,0,0,8,2,7.0,1,163,1.0,3.0,False
371,4.0,65.0,16.25,4,0,2,0,1,0.0,0,109,0.0,34.0,True
372,18.0,39.0,2.1666666666666665,11,0,0,0,0,16.0,0,391,8.0,3.0,False
374,6.0,59.0,9.833333333333334,4,0,0,0,2,1.0,0,64,0.0,34.0,True
375,1.0,63.0,63.0,2,0,2,0,0,1.0,1,364,9.0,1.0,False
376,8.0,31.0,3.875,3,0,1,5,4,5.0,0,150,4.0,2.0,False
377,8.0,43.0,5.375,10,3,1,1,0,7.0,0,429,4.0,1.0,False
378,20.0,38.0,1.9,5,0,2,4,5,11.0,1,221,4.0,3.0,False
379,9.0,28.0,3.111111111111111,2,0,0,7,5,2.0,1,129,0.0,15.0,True
380,43.0,79.0,1.8372093023255813,14,3,0,0,0,35.0,1,480,12.0,4.0,False
382,10.0,3.0,0.3,6,0,1,7,1,2.0,0,345,0.0,0.0,False
383,8.0,67.0,8.375,2,0,1,8,1,0.0,0,94,0.0,35.0,True
384,8.0,44.0,5.5,7,0,1,6,1,5.0,1,234,5.0,11.0,False
385,10.0,105.0,10.5,4,0,2,9,6,3.0,1,80,0.0,54.0,True
386,4.0,3.0,0.75,2,0,0,0,2,0.0,0,174,0.0,2.0,True
387,17.0,172.0,10.117647058823529,5,0,2,1,1,12.0,0,192,25.0,0.0,False
388,64.0,22.0,0.34375,20,0,0,2,4,16.0,0,427,4.0,1.0,False
389,17.0,27.0,1.588235294117647,7,0,0,3,1,9.0,0,202,2.0,0.0,False
392,1.0,55.0,55.0,0,0,0,0,0,1.0,1,393,8.0,1.0,False
393,9.0,22.0,2.4444444444444446,11,0,0,2,3,7.0,0,307,3.0,0.0,False
394,4.0,84.0,21.0,0,0,0,0,1,0.0,1,86,0.0,53.0,True
395,7.0,33.0,4.714285714285714,7,0,0,3,1,5.0,0,311,3.0,3.0,False
396,25.0,10.0,0.4,10,0,1,5,6,7.0,0,241,0.0,1.0,False
397,21.0,11.0,0.5238095238095238,8,1,0,2,1,6.0,0,394,1.0,1.0,False
398,3.0,40.0,13.333333333333334,6,0,0,1,3,2.0,0,279,2.0,4.0,False
399,19.0,17.0,0.8947368421052632,7,0,0,3,1,10.0,0,386,2.0,0.0,False
400,8.0,36.0,4.5,5,0,3,3,1,5.0,0,255,5.0,3.0,False
401,9.0,38.0,4.222222222222222,5,2,2,5,5,5.0,1,170,2.0,3.0,False
402,22.0,14.0,0.6363636363636364,8,0,3,5,4,9.0,1,217,2.0,3.0,False
403,25.0,81.0,3.24,7,0,2,4,5,13.0,0,224,7.0,6.0,False
404,7.0,9.0,1.2857142857142858,6,0,2,1,1,4.0,1,341,1.0,1.0,False
405,28.0,8.0,0.2857142857142857,13,0,2,5,6,4.0,1,328,1.0,1.0,False
406,9.0,20.0,2.2222222222222223,2,0,0,3,4,5.0,2,264,1.0,2.0,False
407,9.0,33.0,3.6666666666666665,3,0,1,2,4,6.0,1,285,2.0,3.0,False
408,23.0,53.0,2.3043478260869565,9,0,1,2,3,12.0,1,274,7.0,3.0,False
410,30.0,53.0,1.7666666666666666,5,0,2,8,5,21.0,1,362,9.0,11.0,False
412,11.0,107.0,9.727272727272727,3,0,1,7,7,6.0,0,193,0.0,62.0,True
413,3.0,59.0,19.666666666666668,4,0,1,0,0,2.0,1,292,3.0,8.0,False
415,12.0,7.0,0.5833333333333334,3,0,1,9,9,0.0,1,145,0.0,4.0,True
416,17.0,67.0,3.9411764705882355,14,0,2,2,2,14.0,0,327,10.0,3.0,False
417,8.0,88.0,11.0,4,0,2,8,0,3.0,0,107,2.0,54.0,True
418,4.0,42.0,10.5,2,0,1,1,0,2.0,1,150,6.0,0.0,False
420,7.0,24.0,3.4285714285714284,1,0,1,7,0,1.0,1,102,0.0,15.0,True
421,9.0,8.0,0.8888888888888888,4,1,0,4,4,5.0,2,123,1.0,1.0,False
422,28.0,51.0,1.8214285714285714,13,0,0,8,7,20.0,2,184,7.0,6.0,False
423,5.0,0.0,0.0,2,0,1,0,2,0.0,0,129,0.0,0.0,True
424,2.0,24.0,12.0,14,0,0,0,2,1.0,1,288,0.0,3.0,False
426,5.0,13.0,2.6,4,0,2,5,3,3.0,0,189,1.0,1.0,False
427,21.0,121.0,5.761904761904762,7,0,0,3,1,11.0,0,359,13.0,2.0,False
428,12.0,48.0,4.0,6,0,2,0,0,9.0,0,340,8.0,5.0,False
429,19.0,58.0,3.0526315789473686,7,0,0,1,2,13.0,1,336,8.0,6.0,False
430,10.0,23.0,2.3,6,0,2,2,5,7.0,1,252,2.0,2.0,False
431,13.0,37.0,2.8461538461538463,4,0,0,10,7,3.0,2,53,0.0,23.0,True
432,1.0,17.0,17.0,13,0,2,0,2,1.0,0,167,0.0,3.0,False
433,7.0,98.0,14.0,12,0,4,6,2,5.0,1,239,8.0,12.0,False
434,29.0,53.0,1.8275862068965518,10,0,0,2,4,24.0,1,359,9.0,2.0,False
435,5.0,43.0,8.6,4,0,2,4,0,3.0,1,196,2.0,0.0,False
436,19.0,169.0,8.894736842105264,14,0,0,8,3,13.0,0,182,11.0,25.0,False
437,2.0,30.0,15.0,0,0,0,0,1,1.0,1,204,3.0,2.0,False
438,11.0,18.0,1.6363636363636365,9,2,0,5,2,7.0,0,394,1.0,3.0,False
439,4.0,15.0,3.75,6,0,0,2,0,3.0,0,278,1.0,0.0,False
440,48.0,5.0,0.10416666666666667,17,0,0,0,0,4.0,1,475,1.0,0.0,False
441,75.0,201.0,2.68,25,0,1,3,5,59.0,0,498,38.0,10.0,False
442,52.0,52.0,1.0,15,0,0,7,7,30.0,1,186,7.0,12.0,False
443,7.0,31.0,4.428571428571429,5,0,0,7,0,4.0,0,221,6.0,7.0,False
444,2.0,12.0,6.0,7,0,0,0,0,1.0,0,254,1.0,0.0,False
445,1.0,86.0,86.0,2,1,0,0,0,0.0,2,107,0.0,48.0,True
446,27.0,58.0,2.1481481481481484,14,0,2,1,3,20.0,1,331,8.0,3.0,False
447,2.0,1.0,0.5,3,0,1,0,0,0.0,0,177,0.0,1.0,True
448,2.0,52.0,26.0,5,0,0,1,1,1.0,1,352,6.0,1.0,False
449,1.0,5.0,5.0,0,0,0,0,2,0.0,1,122,0.0,3.0,True
450,9.0,30.0,3.3333333333333335,3,0,0,2,5,6.0,1,182,2.0,2.0,False
451,6.0,53.0,8.833333333333334,5,0,0,5,3,3.0,1,209,5.0,4.0,False
452,8.0,62.0,7.75,2,0,1,7,4,1.0,1,55,0.0,35.0,True
453,2.0,74.0,37.0,5,0,0,0,2,1.0,0,217,0.0,13.0,False
454,2.0,23.0,11.5,2,1,1,0,0,0.0,0,197,0.0,12.0,True
455,30.0,36.0,1.2,10,0,0,5,4,16.0,1,267,2.0,7.0,False
456,6.0,5.0,0.8333333333333334,3,0,0,0,2,1.0,0,150,0.0,3.0,True
457,30.0,52.0,1.7333333333333334,2,0,1,3,7,17.0,0,251,6.0,5.0,False
458,6.0,91.0,15.166666666666666,5,0,0,1,0,3.0,0,172,8.0,0.0,False
459,1.0,23.0,23.0,9,0,0,0,0,1.0,0,349,1.0,2.0,False
460,1.0,95.0,95.0,0,0,0,0,1,1.0,0,135,7.0,8.0,False
461,8.0,32.0,4.0,8,0,0,2,0,7.0,1,467,4.0,0.0,False
463,14.0,55.0,3.9285714285714284,3,0,1,2,6,9.0,0,196,3.0,5.0,False
464,155.0,41.0,0.2645161290322581,21,0,4,4,17,34.0,0,442,6.0,3.0,False
465,10.0,6.0,0.6,12,0,0,0,0,4.0,0,368,1.0,0.0,False
466,5.0,73.0,14.6,7,0,0,3,3,3.0,1,235,9.0,6.0,False
467,4.0,91.0,22.75,4,0,2,0,1,1.0,0,61,0.0,46.0,True
468,71.0,6.0,0.08450704225352113,7,0,0,5,5,4.0,1,368,1.0,0.0,False
469,42.0,39.0,0.9285714285714286,9,0,0,1,4,29.0,0,351,6.0,3.0,False
470,32.0,39.0,1.21875,4,0,0,2,4,22.0,1,350,5.0,0.0,False
471,5.0,79.0,15.8,6,0,0,2,2,3.0,0,140,9.0,7.0,False
472,7.0,31.0,4.428571428571429,5,0,1,0,0,6.0,0,437,4.0,0.0,False
473,16.0,66.0,4.125,14,0,0,5,5,11.0,0,344,4.0,13.0,False
474,23.0,25.0,1.0869565217391304,8,1,0,3,2,14.0,1,380,3.0,0.0,False
475,2.0,14.0,7.0,3,0,0,0,0,2.0,1,56,0.0,9.0,True
477,51.0,56.0,1.0980392156862746,18,0,0,1,4,44.0,0,409,11.0,3.0,False
478,9.0,12.0,1.3333333333333333,2,0,1,2,5,5.0,0,198,1.0,1.0,False
479,9.0,60.0,6.666666666666667,12,0,0,9,1,5.0,0,156,8.0,15.0,False
480,7.0,7.0,1.0,13,2,0,0,0,6.0,0,306,1.0,0.0,False
481,1.0,47.0,47.0,5,0,0,0,0,1.0,1,253,6.0,2.0,False
482,2.0,1.0,0.5,3,0,1,0,1,0.0,1,52,0.0,1.0,True
483,25.0,22.0,0.88,14,0,0,2,4,17.0,1,348,4.0,0.0,False
484,42.0,41.0,0.9761904761904762,5,0,2,4,6,22.0,0,168,4.0,4.0,False
485,11.0,30.0,2.727272727272727,3,0,1,3,0,6.0,1,394,4.0,0.0,False
486,8.0,23.0,2.875,3,1,1,7,3,3.0,1,72,0.0,15.0,True
487,15.0,2.0,0.13333333333333333,7,0,1,2,1,1.0,0,378,0.0,0.0,False
488,18.0,0.0,0.0,12,0,0,1,4,0.0,0,477,0.0,0.0,False
489,5.0,0.0,0.0,7,0,2,1,1,0.0,0,355,0.0,0.0,False
491,14.0,59.0,4.214285714285714,3,0,0,7,9,4.0,0,145,0.0,39.0,True
492,4.0,10.0,2.5,11,0,3,0,1,2.0,0,240,0.0,2.0,False
493,3.0,35.0,11.666666666666666,11,0,2,0,0,2.0,1,254,6.0,2.0,False
494,5.0,7.0,1.4,4,0,0,0,2,0.0,1,82,0.0,4.0,True
495,16.0,4.0,0.25,1,0,1,8,8,2.0,0,184,0.0,2.0,True
496,28.0,81.0,2.892857142857143,5,0,0,2,5,20.0,0,344,10.0,1.0,False
497,53.0,18.0,0.33962264150943394,3,0,1,1,6,12.0,0,228,2.0,1.0,False
498,14.0,59.0,4.214285714285714,6,1,2,3,6,8.0,0,283,6.0,6.0,False
499,16.0,2.0,0.125,7,0,1,8,2,1.0,1,393,0.0,0.0,False
500,59.0,27.0,0.4576271186440678,20,0,3,3,8,22.0,0,406,3.0,1.0,False
501,18.0,35.0,1.9444444444444444,6,0,1,9,3,11.0,0,194,4.0,7.0,False
502,25.0,33.0,1.32,3,1,1,4,3,14.0,0,325,4.0,1.0,False
505,9.0,72.0,8.0,8,0,0,6,1,6.0,0,154,9.0,15.0,False
506,42.0,67.0,1.5952380952380953,4,0,0,2,4,26.0,0,145,7.0,6.0,False
507,6.0,16.0,2.6666666666666665,3,1,0,0,2,0.0,1,168,0.0,11.0,True
508,19.0,54.0,2.8421052631578947,10,0,0,1,4,15.0,0,456,7.0,2.0,False
509,5.0,37.0,7.4,8,2,1,1,0,3.0,1,255,5.0,0.0,False
510,9.0,52.0,5.777777777777778,5,0,1,0,0,7.0,0,316,8.0,4.0,False
511,6.0,0.0,0.0,11,0,1,5,1,0.0,1,360,0.0,0.0,False
512,4.0,64.0,16.0,14,1,4,1,0,3.0,0,425,10.0,0.0,False
513,2.0,1.0,0.5,0,0,0,0,1,0.0,2,142,0.0,1.0,True
514,5.0,3.0,0.6,2,0,0,0,2,0.0,1,164,0.0,2.0,True
515,16.0,30.0,1.875,2,0,1,8,8,0.0,0,138,0.0,18.0,True
516,18.0,3.0,0.16666666666666666,1,0,0,9,8,0.0,1,130,0.0,2.0,True
517,3.0,0.0,0.0,4,0,2,2,0,0.0,0,302,0.0,0.0,False
518,18.0,69.0,3.8333333333333335,9,0,0,9,3,11.0,1,246,16.0,7.0,False
519,4.0,21.0,5.25,11,0,0,0,2,2.0,2,279,3.0,3.0,False
520,24.0,10.0,0.4166666666666667,7,0,1,3,2,6.0,0,162,1.0,0.0,False
521,17.0,66.0,3.8823529411764706,8,0,3,4,1,11.0,1,305,3.0,4.0,False
522,33.0,10.0,0.30303030303030304,2,0,1,2,6,6.0,0,261,1.0,1.0,False
523,16.0,33.0,2.0625,5,0,0,4,6,8.0,1,260,3.0,2.0,False
524,12.0,1.0,0.08333333333333333,4,0,0,10,8,0.0,0,132,0.0,1.0,True
526,21.0,6.0,0.2857142857142857,3,0,0,1,1,3.0,2,344,0.0,0.0,False
527,1.0,48.0,48.0,13,0,0,0,0,1.0,0,261,9.0,2.0,False
528,1.0,41.0,41.0,3,0,1,0,0,1.0,0,302,5.0,1.0,False
529,4.0,52.0,13.0,4,0,2,0,1,0.0,1,154,0.0,32.0,True
530,12.0,79.0,6.583333333333333,5,0,0,3,5,8.0,0,246,9.0,8.0,False
531,43.0,1.0,0.023255813953488372,7,2,0,3,2,1.0,0,389,0.0,0.0,False
532,2.0,30.0,15.0,6,0,0,0,0,1.0,1,187,2.0,3.0,False
533,12.0,2.0,0.16666666666666666,7,0,0,7,3,1.0,2,345,0.0,0.0,False
534,6.0,8.0,1.3333333333333333,9,0,2,6,0,3.0,0,371,0.0,1.0,False
535,2.0,37.0,18.5,1,0,1,0,1,0.0,0,187,0.0,19.0,True
536,1.0,5.0,5.0,4,0,0,0,0,1.0,0,110,1.0,0.0,False
537,9.0,3.0,0.3333333333333333,2,0,0,8,3,1.0,0,105,0.0,2.0,True
538,3.0,120.0,40.0,9,0,3,1,3,3.0,0,433,20.0,6.0,False
539,15.0,40.0,2.6666666666666665,7,0,0,1,1,10.0,2,261,6.0,0.0,False
542,33.0,41.0,1.2424242424242424,12,0,0,0,0,29.0,0,206,6.0,3.0,False
543,6.0,35.0,5.833333333333333,6,0,0,0,0,5.0,0,305,5.0,0.0,False
544,18.0,30.0,1.6666666666666667,8,0,0,1,1,13.0,0,344,4.0,0.0,False
546,3.0,4.0,1.3333333333333333,3,0,0,0,1,1.0,1,74,0.0,3.0,True
547,15.0,119.0,7.933333333333334,2,0,1,10,8,1.0,0,193,0.0,72.0,True
548,5.0,16.0,3.2,4,0,0,2,1,3.0,1,160,2.0,0.0,False
549,12.0,90.0,7.5,13,1,4,6,2,7.0,1,318,14.0,15.0,False
550,6.0,12.0,2.0,10,0,0,5,1,4.0,1,153,0.0,1.0,False
551,17.0,32.0,1.8823529411764706,4,0,0,10,9,2.0,0,105,0.0,21.0,True
552,26.0,3.0,0.11538461538461539,6,0,0,0,0,3.0,0,356,0.0,0.0,False
553,4.0,12.0,3.0,3,0,0,0,1,0.0,0,150,0.0,7.0,True
554,10.0,0.0,0.0,5,0,0,2,2,0.0,0,381,0.0,0.0,False
555,23.0,27.0,1.173913043478261,12,0,0,6,4,14.0,0,264,1.0,7.0,False
556,3.0,110.0,36.666666666666664,2,0,1,0,1,0.0,0,85,0.0,60.0,True
557,8.0,9.0,1.125,3,0,1,8,9,3.0,2,194,0.0,6.0,True
558,19.0,5.0,0.2631578947368421,7,0,1,0,0,4.0,0,327,1.0,0.0,False
559,16.0,29.0,1.8125,7,0,2,4,5,10.0,1,126,2.0,3.0,False
560,16.0,20.0,1.25,12,0,0,5,4,10.0,0,185,0.0,4.0,False
561,4.0,70.0,17.5,11,0,3,0,0,3.0,0,476,12.0,2.0,False
562,3.0,73.0,24.333333333333332,0,0,0,0,2,0.0,1,96,0.0,51.0,True
563,10.0,80.0,8.0,5,0,0,4,0,6.0,1,358,6.0,2.0,False
564,14.0,1.0,0.07142857142857142,3,0,0,2,5,1.0,0,110,0.0,0.0,False
566,12.0,95.0,7.916666666666667,7,0,2,4,1,7.0,0,195,7.0,8.0,False
567,5.0,5.0,1.0,9,0,0,5,1,3.0,0,283,0.0,1.0,False
568,2.0,3.0,1.5,7,0,1,0,1,1.0,1,325,1.0,1.0,False
570,1.0,0.0,0.0,7,0,2,0,0,0.0,2,262,0.0,0.0,False
571,23.0,17.0,0.7391304347826086,5,2,0,9,3,12.0,1,327,4.0,4.0,False
572,7.0,9.0,1.2857142857142858,5,2,0,3,4,4.0,2,126,1.0,1.0,False
573,10.0,10.0,1.0,1,0,1,7,4,3.0,2,115,0.0,7.0,True
574,6.0,28.0,4.666666666666667,3,1,0,0,2,2.0,0,160,0.0,19.0,True
575,70.0,85.0,1.2142857142857142,10,0,0,5,2,43.0,0,302,8.0,1.0,False
576,21.0,11.0,0.5238095238095238,13,0,0,8,5,7.0,1,208,1.0,2.0,False
577,17.0,138.0,8.117647058823529,10,0,0,1,3,14.0,1,469,20.0,13.0,False
578,29.0,19.0,0.6551724137931034,11,2,0,8,4,12.0,0,333,2.0,3.0,False
579,19.0,22.0,1.1578947368421053,8,0,2,3,2,13.0,0,339,3.0,1.0,False
580,2.0,66.0,33.0,7,0,0,1,1,1.0,1,266,6.0,6.0,False
581,12.0,92.0,7.666666666666667,2,0,0,7,9,3.0,0,188,0.0,55.0,True
582,8.0,52.0,6.5,4,0,0,5,2,5.0,0,148,4.0,5.0,False
583,34.0,82.0,2.411764705882353,11,3,0,0,0,30.0,0,405,15.0,2.0,False
584,8.0,5.0,0.625,4,0,2,5,5,3.0,0,255,0.0,0.0,False
585,18.0,42.0,2.3333333333333335,6,0,0,5,3,11.0,0,199,1.0,5.0,False
586,6.0,63.0,10.5,7,0,1,4,1,3.0,2,308,5.0,4.0,False
587,10.0,54.0,5.4,8,0,3,9,1,6.0,1,165,5.0,9.0,False
588,1.0,67.0,67.0,3,0,0,0,2,0.0,0,170,0.0,40.0,True
589,19.0,29.0,1.5263157894736843,6,0,0,4,1,10.0,1,242,2.0,1.0,False
590,13.0,83.0,6.384615384615385,9,0,1,5,3,7.0,0,249,2.0,13.0,False
591,21.0,12.0,0.5714285714285714,9,0,3,3,1,8.0,1,199,1.0,1.0,False
592,129.0,14.0,0.10852713178294573,40,0,0,6,9,10.0,0,244,3.0,1.0,False
593,102.0,48.0,0.47058823529411764,22,5,0,2,14,41.0,0,271,7.0,0.0,False
594,3.0,44.0,14.666666666666666,0,0,0,0,1,0.0,1,143,0.0,24.0,True
596,35.0,47.0,1.3428571428571427,6,0,2,5,4,21.0,1,125,5.0,4.0,False
597,17.0,89.0,5.235294117647059,13,0,0,0,0,12.0,0,370,14.0,9.0,False
598,3.0,7.0,2.3333333333333335,2,0,1,1,0,2.0,1,241,1.0,0.0,False
599,29.0,19.0,0.6551724137931034,3,0,0,4,1,13.0,1,186,3.0,1.0,False
600,11.0,64.0,5.818181818181818,6,0,2,2,0,6.0,1,351,7.0,3.0,False
601,33.0,16.0,0.48484848484848486,11,0,3,0,0,12.0,1,290,3.0,0.0,False
603,8.0,92.0,11.5,11,3,1,6,1,5.0,1,211,4.0,18.0,False
604,44.0,35.0,0.7954545454545454,7,0,0,2,5,27.0,1,346,6.0,1.0,False
606,21.0,27.0,1.2857142857142858,9,0,0,6,5,11.0,0,379,1.0,5.0,False
607,23.0,17.0,0.7391304347826086,13,0,0,1,3,14.0,0,232,3.0,0.0,False
608,9.0,4.0,0.4444444444444444,4,1,2,7,9,0.0,1,176,0.0,2.0,True
609,9.0,37.0,4.111111111111111,10,0,0,1,1,7.0,1,282,6.0,1.0,False
610,17.0,10.0,0.5882352941176471,10,1,0,8,3,5.0,0,198,0.0,1.0,False
611,21.0,77.0,3.6666666666666665,5,0,1,9,4,12.0,0,244,12.0,11.0,False
612,10.0,10.0,1.0,5,0,0,3,4,5.0,0,212,1.0,1.0,False
613,70.0,70.0,1.0,9,0,3,0,1,63.0,0,410,11.0,4.0,False
614,10.0,52.0,5.2,6,0,0,8,2,6.0,0,358,8.0,12.0,False
615,5.0,31.0,6.2,5,0,1,2,1,3.0,0,286,2.0,0.0,False
616,24.0,38.0,1.5833333333333333,6,0,0,5,5,13.0,0,285,0.0,4.0,False
617,7.0,33.0,4.714285714285714,1,0,1,7,0,1.0,0,125,0.0,22.0,True
618,6.0,12.0,2.0,1,0,0,0,2,2.0,1,56,0.0,8.0,True
619,32.0,9.0,0.28125,14,0,1,7,4,5.0,1,196,0.0,1.0,False
620,6.0,4.0,0.6666666666666666,8,0,0,2,1,2.0,1,177,1.0,0.0,False
621,16.0,39.0,2.4375,8,0,0,2,2,8.0,1,193,3.0,1.0,False
622,7.0,58.0,8.285714285714286,6,0,2,2,1,5.0,0,191,5.0,1.0,False
623,28.0,2.0,0.07142857142857142,9,0,0,1,6,1.0,0,294,0.0,0.0,False
624,2.0,2.0,1.0,4,0,1,0,0,1.0,1,187,0.0,0.0,False
625,5.0,2.0,0.4,6,0,0,5,3,1.0,1,268,0.0,0.0,False
626,5.0,39.0,7.8,4,0,2,0,2,0.0,1,80,0.0,25.0,True
627,1.0,24.0,24.0,5,0,1,0,1,1.0,1,192,1.0,2.0,False
628,14.0,56.0,4.0,4,0,0,3,6,9.0,1,217,3.0,5.0,False
